bisphenol,ID,ID.2,treatment,temp,exposure,temp.acute,body.mass_pre,condition,CS.slope.1,CS.slope.2,CS.slope,CS.dilution,CS.activity,LDH.slope.1,LDH.slope.2,LDH.slope,LDH.dilution,LDH.activity
BPA,BPA-18-C-14,18-C-14,18-C,18,control,18,0.38,2.187178884,0.0409,0.0413,0.0411,10,3.022058824,0.1079,0.1091,0.1085,100,79.77941176
BPA,BPA-28-BPA-4,28-BPA-4,28-expose,28,expose,28,0.36,1.750051432,0.0571,0.0522,0.05465,10,4.018382353,0.0659,0.0597,0.0628,200,92.35294118
BPA,BPA-28-C-4,28-C-4,28-C,28,control,28,0.4,2.125274745,0.0629,,0.0629,10,4.625,0.0928,0.0855,0.08915,200,131.1029412
BPA,BPA-18-C-15,18-C-15,18-C,18,control,18,0.47,1.84950652,0.0263,0.0245,0.0254,10,1.867647059,0.0604,0.0604,0.0604,100,44.41176471
BPA,BPA-18-BPA-15,18-BPA-15,18-expose,18,expose,18,0.29,1.649977242,0.0277,0.028,0.02785,10,2.047794118,0.0549,0.0538,0.05435,100,39.96323529
BPA,BPA-28-C-5,28-C-5,28-C,28,control,28,0.48,1.947880323,0.0914,0.0955,0.09345,10,6.871323529,0.0864,0.0964,0.0914,200,134.4117647
BPA,BPA-28-BPA-5,28-BPA-5,28-expose,28,expose,28,0.48,1.968100373,0.0553,0.0533,0.0543,10,3.992647059,0.0596,0.0561,0.05785,200,85.07352941
BPA,BPA-28-C-1,28-C-1,28-C,28,control,18,0.43,1.937980915,0.0422,0.055,0.0486,10,3.573529412,0.078,0.074,0.076,100,55.88235294
BPA,BPA-28-BPA-1,28-BPA-1,28-expose,28,expose,18,0.46,1.773710343,0.0415,0.0342,0.03785,10,2.783088235,0.161,0.1519,0.15645,100,115.0367647
BPA,BPA-18-C-11,18-C-11,18-C,18,control,28,0.43,1.877212491,0.0426,0.043,0.0428,10,3.147058824,0.0488,0.0482,0.0485,200,71.32352941
BPA,BPA-18-BPA-11,18-BPA-11,18-expose,18,expose,28,0.61,2.236816451,,,,,,,,,,
BPA,BPA-28-BPA-2,28-BPA-2,28-expose,28,expose,18,0.46,1.544090497,0.0451,0.0542,0.04965,10,3.650735294,0.098,0.083,0.0905,100,66.54411765
BPA,BPA-28-C-2,28-C-2,28-C,28,control,18,0.52,2.046262533,0.0432,0.0358,0.0395,10,2.904411765,0.098,0.0899,0.09395,100,69.08088235
BPA,BPA-18-BPA-12,18-BPA-12,18-expose,18,expose,28,0.4,1.409809632,0.0953,0.0851,0.0902,10,6.632352941,0.0561,0.0525,0.0543,200,79.85294118
BPA,BPA-18-C-12,18-C-12,18-C,18,control,28,0.38,1.495345697,0.0499,0.0498,0.04985,10,3.665441176,0.0469,0.0469,0.0469,200,68.97058824
BPA,BPA-28-C-3,28-C-3,28-C,28,control,18,0.42,2.133821064,0.0357,0.0389,0.0373,10,2.742647059,0.0774,0.0787,0.07805,100,57.38970588
BPA,BPA-28-BPA-3,28-BPA-3,28-expose,28,expose,18,0.53,1.831726984,0.0496,0.0526,0.0511,10,3.757352941,0.1079,0.1101,0.109,100,80.14705882
BPA,BPA-18-C-13,18-C-13,18-C,18,control,28,0.46,1.670078953,0.049,0.0509,0.04995,10,3.672794118,0.0577,0.0534,0.05555,200,81.69117647
BPA,BPA-18-BPA-13,18-BPA-13,18-expose,18,expose,28,0.58,1.786717719,0.0539,0.0511,0.0525,10,3.860294118,0.0658,0.0647,0.06525,200,95.95588235
BPA,BPA-28-BPA-4,28-BPA-4,28-expose,28,expose,18,0.34,1.708327155,0.0394,0.0393,0.03935,10,2.893382353,0.0915,0.0915,0.0915,100,67.27941176
BPA,BPA-28-C-4,28-C-4,28-C,28,control,18,0.35,1.720204594,0.0334,0.0374,0.0354,10,2.602941176,0.1277,0.01219,0.069945,100,51.43014706
BPA,BPA-18-BPA-14,18-BPA-14,18-expose,18,expose,28,0.49,1.928208925,0.0592,0.0516,0.0554,10,4.073529412,0.0303,0.0288,0.02955,200,43.45588235
BPA,BPA-18-C-14,18-C-14,18-C,18,control,28,0.35,1.818292144,0.0823,0.0801,0.0812,10,5.970588235,0.0819,0.0803,0.0811,200,119.2647059
BPA,BPA-28-C-5,28-C-5,28-C,28,control,18,0.5,1.927946025,0.0561,0.0559,0.056,10,4.117647059,0.1007,0.1311,0.1159,100,85.22058824
BPA,BPA-28-BPA-5,28-BPA-5,28-expose,28,expose,18,0.41,1.771125259,0.0531,0.0549,0.054,10,3.970588235,0.0794,0.0783,0.07885,100,57.97794118
BPA,BPA-18-C-15,18-C-15,18-C,18,control,28,0.48,1.813812728,0.0535,0.0564,0.05495,10,4.040441176,0.0318,0.0325,0.03215,200,47.27941176
BPA,BPA-18-BPA-15,18-BPA-15,18-expose,18,expose,28,0.27,1.467411721,0.0386,0.0384,0.0385,10,2.830882353,0.037,0.0366,0.0368,200,54.11764706
BPA,BPA-28-C-6,28-C-6,28-C,28,control,18,0.44,2.115702479,0.0327,0.0335,0.0331,10,2.433823529,0.0703,0.0704,0.07035,100,51.72794118
BPA,BPA-28-BPA-6,28-BPA-6,28-expose,28,expose,18,0.53,2.002751554,,,,,,,,,,
BPA,BPA-28-C-11,28-C-11,28-C,28,control,28,0.47,2.525574803,,,,,,,,,,
BPA,BPA-28-BPA-11,28-BPA-11,28-expose,28,expose,28,0.58,2.378121284,0.0495,0.0439,0.0467,10,3.433823529,0.0422,0.0422,0.0422,200,62.05882353
BPA,BPA-28-BPA-7,28-BPA-7,28-expose,28,expose,18,0.39,2.119594707,0.0584,0.0597,0.05905,10,4.341911765,0.12,0.1241,0.12205,100,89.74264706
BPA,BPA-28-C-7,28-C-7,28-C,28,control,18,0.46,2.260840324,,,,,,,,,,
BPA,BPA-28-BPA-12,28-BPA-12,28-expose,28,expose,28,0.59,2.419123375,0.0968,0.0825,0.08965,10,6.591911765,0.1174,0.1291,0.12325,200,181.25
BPA,BPA-28-C-12,28-C-12,28-C,28,control,28,0.18,0.914494742,0.0247,0.0229,0.0238,10,1.75,0.0283,0.0279,0.0281,200,41.32352941
BPA,BPA-28-C-8,28-C-8,28-C,28,control,18,0.46,1.810155318,0.0309,0.0297,0.0303,10,2.227941176,0.0689,0.0681,0.0685,100,50.36764706
BPA,BPA-28-BPA-8,28-BPA-8,28-expose,28,expose,18,0.58,1.838089887,0.0534,0.0541,0.05375,10,3.952205882,0.103,0.1095,0.10625,100,78.125
BPA,BPA-28-C-13,28-C-13,28-C,28,control,28,0.52,1.832752521,,,,,,,,,,
BPA,BPA-28-BPA-13,28-BPA-13,28-expose,28,expose,28,0.42,1.913265306,,,,,,,,,,
BPA,BPA-28-BPA-9,28-BPA-9,28-expose,28,expose,18,0.53,2.195747219,0.0599,0.0508,0.05535,10,4.069852941,0.0694,0.0681,0.06875,100,50.55147059
BPA,BPA-28-C-9,28-C-9,28-C,28,control,18,0.49,2.256230523,0.041,0.0463,0.04365,10,3.209558824,0.1013,0.1,0.10065,100,74.00735294
BPA,BPA-28-BPA-14,28-BPA-14,28-expose,28,expose,28,0.6,2.460125466,0.0332,0.0308,0.032,10,2.352941176,0.0751,0.0753,0.0752,200,110.5882353
BPA,BPA-28-C-14,28-C-14,28-C,28,control,28,0.53,2.218699096,0.068,0.069,0.0685,10,5.036764706,0.0472,0.048,0.0476,200,70
BPA,BPA-28-C-10,28-C-10,28-C,28,control,18,0.41,1.86771137,0.0329,0.0367,0.0348,10,2.558823529,0.0724,0.0788,0.0756,100,55.58823529
BPA,BPA-28-BPA-10,28-BPA-10,28-expose,28,expose,18,0.44,2.285852981,,,,,,,,,,
BPA,BPA-28-C-15,28-C-15,28-C,28,control,28,0.46,1.703703704,0.0322,0.037,0.0346,10,2.544117647,0.0681,0.0694,0.06875,200,101.1029412
BPA,BPA-28-BPA-15,28-BPA-15,28-expose,28,expose,28,0.4,1.944501591,0.0426,0.0404,0.0415,10,3.051470588,0.0462,0.0458,0.046,200,67.64705882
BPA,BPA-28-C-11,28-C-11,28-C,28,control,18,0.48,2.073512498,,,,,,,,,,
BPA,BPA-28-BPA-11,28-BPA-11,28-expose,28,expose,18,0.52,2.671446638,0.0286,0.0354,0.032,10,2.352941176,0.0828,0.0837,0.08325,100,61.21323529
BPA,BPA-28-C-6,28-C-6,28-C,28,control,28,0.48,2.051838327,0.0512,0.0503,0.05075,10,3.731617647,0.0459,0.0468,0.04635,200,68.16176471
BPA,BPA-28-BPA-6,28-BPA-6,28-expose,28,expose,28,0.46,1.720854955,,,,,,,,,,
BPA,BPA-28-BPA-12,28-BPA-12,28-expose,28,expose,18,0.52,2.222824855,0.0425,0.0458,0.04415,10,3.246323529,0.1342,0.1456,0.1399,100,102.8676471
BPA,BPA-28-C-12,28-C-12,28-C,28,control,18,0.24,1.058892653,0.0151,0.0156,0.01535,10,1.128676471,0.0233,0.0245,0.0239,100,17.57352941
BPA,BPA-28-BPA-7,28-BPA-7,28-expose,28,expose,28,0.33,1.695341136,0.0947,0.0932,0.09395,10,6.908088235,0.0973,0.0966,0.09695,200,142.5735294
BPA,BPA-28-C-7,28-C-7,28-C,28,control,28,0.45,2.07204844,,,,,,,,,,
BPA,BPA-28-C-13,28-C-13,28-C,28,control,18,0.56,2.320034797,,,,,,,,,,
BPA,BPA-28-BPA-13,28-BPA-13,28-expose,28,expose,18,0.4,1.746244178,,,,,,,,,,
BPA,BPA-28-C-8,28-C-8,28-C,28,control,28,0.48,2.073512498,0.0481,0.0434,0.04575,10,3.363970588,0.0411,0.0431,0.0421,200,61.91176471
BPA,BPA-28-BPA-8,28-BPA-8,28-expose,28,expose,28,0.59,2.252074036,0.0902,0.0895,0.08985,10,6.606617647,0.089,0.0862,0.0876,200,128.8235294
BPA,BPA-28-BPA-14,28-BPA-14,28-expose,28,expose,18,0.59,2.630902094,0.033,0.0313,0.03215,10,2.363970588,0.0641,0.0655,0.0648,100,47.64705882
BPA,BPA-28-C-14,28-C-14,28-C,28,control,18,0.51,2.226461327,0.044,0.0425,0.04325,10,3.180147059,0.0912,0.0899,0.09055,100,66.58088235
BPA,BPA-28-BPA-9,28-BPA-9,28-expose,28,expose,28,0.4,1.802772944,0.085,0.0841,0.08455,10,6.216911765,0.0787,0.0791,0.0789,200,116.0294118
BPA,BPA-28-C-9,28-C-9,28-C,28,control,28,0.54,2.040539319,0.0565,0.0565,0.0565,10,4.154411765,0.0791,0.076,0.07755,200,114.0441176
BPA,BPA-28-C-15,28-C-15,28-C,28,control,18,0.44,1.597466824,0.0509,0.0416,0.04625,10,3.400735294,0.0358,0.0334,0.0346,100,25.44117647
BPA,BPA-28-BPA-15,28-BPA-15,28-expose,28,expose,18,0.43,1.937980915,0.0268,0.0281,0.02745,10,2.018382353,0.0789,0.0774,0.07815,100,57.46323529
BPA,BPA-28-C-10,28-C-10,28-C,28,control,28,0.4,1.746244178,0.0547,0.0559,0.0553,10,4.066176471,0.0519,0.0478,0.04985,200,73.30882353
BPF,BPF-18-C-1,18-C-1,18-C,18,control,18,0.39,1.519142658,0.0524,0.0532,0.0528,10,3.882352941,0.1122,0.1125,0.11235,100,82.61029412
BPF,BPF-18-BPF-1,18-BPF-1,18-expose,18,expose,18,0.4,1.606613593,0.0286,0.029,0.0288,10,2.117647059,0.0828,0.0841,0.08345,100,61.36029412
BPF,BPF-18-C-6,18-C-6,18-C,18,control,28,0.64,1.371742112,0.0627,0.0631,0.0629,10,4.625,0.0498,0.0497,0.04975,200,73.16176471
BPF,BPF-18-BPF-6,18-BPF-6,18-expose,18,expose,28,0.42,1.587086137,0.0511,0.0518,0.05145,10,3.783088235,0.0552,0.0557,0.05545,200,81.54411765
BPF,BPF-18-BPF-2,18-BPF-2,18-expose,18,expose,18,0.63,1.58882993,,,,,,,,,,
BPF,BPF-18-C-2,18-C-2,18-C,18,control,18,0.46,1.810155318,0.0484,0.0461,0.04725,10,3.474264706,0.0988,0.0997,0.09925,100,72.97794118
BPF,BPF-18-BPF-7,18-BPF-7,18-expose,18,expose,28,0.52,1.728710129,0.0728,0.0726,0.0727,10,5.345588235,0.0508,0.0517,0.05125,200,75.36764706
BPF,BPF-18-C-7,18-C-7,18-C,18,control,28,0.72,1.75337662,0.0718,0.078,0.0749,10,5.507352941,0.0809,0.0899,0.0854,200,125.5882353
BPF,BPF-18-C-3,18-C-3,18-C,18,control,18,0.45,1.700449433,,,,,,,,,,
BPF,BPF-18-BPF-3,18-BPF-3,18-expose,18,expose,18,0.54,2.103428296,,,,,,,,,,
BPF,BPF-18-C-8,18-C-8,18-C,18,control,28,0.49,1.440658511,0.0667,0.0672,0.06695,10,4.922794118,0.0492,0.0488,0.049,200,72.05882353
BPF,BPF-18-BPF-8,18-BPF-8,18-expose,18,expose,28,0.41,2.01509681,0.0752,0.0761,0.07565,10,5.5625,0.0449,0.0453,0.0451,200,66.32352941
BPF,BPF-18-BPF-4,18-BPF-4,18-expose,18,expose,18,0.44,1.822884484,0.0507,0.0509,0.0508,10,3.735294118,0.0841,0.0838,0.08395,100,61.72794118
BPF,BPF-18-C-4,18-C-4,18-C,18,control,18,0.61,1.914926232,0.0557,0.0558,0.05575,10,4.099264706,0.0922,0.0927,0.09245,100,67.97794118
BPF,BPF-18-BPF-9,18-BPF-9,18-expose,18,expose,28,0.46,1.866718643,0.0592,0.0592,0.0592,10,4.352941176,0.0652,0.0623,0.06375,200,93.75
BPF,BPF-18-C-9,18-C-9,18-C,18,control,28,0.6,1.848328675,0.0722,0.0726,0.0724,10,5.323529412,0.0721,0.0725,0.0723,200,106.3235294
BPF,BPF-18-C-5,18-C-5,18-C,18,control,18,0.44,1.448734807,0.0367,0.0361,0.0364,10,2.676470588,0.0862,0.0858,0.086,100,63.23529412
BPF,BPF-18-BPF-5,18-BPF-5,18-expose,18,expose,18,0.43,1.415809016,0.0431,0.0436,0.04335,10,3.1875,0.0704,0.0689,0.06965,100,51.21323529
BPF,BPF-18-C-10,18-C-10,18-C,18,control,28,0.43,1.164489978,0.0397,0.0402,0.03995,10,2.9375,0.0608,0.0604,0.0606,200,89.11764706
BPF,BPF-18-BPF-10,18-BPF-10,18-expose,18,expose,28,0.39,1.615738519,0.0902,0.0855,0.08785,10,6.459558824,0.0677,0.0673,0.0675,200,99.26470588
BPF,BPF-18-C-6,18-C-6,18-C,18,control,18,0.64,1.371742112,0.0348,0.035,0.0349,10,2.566176471,0.0752,0.0752,0.0752,100,55.29411765
BPF,BPF-18-BPF-6,18-BPF-6,18-expose,18,expose,18,0.41,1.549298372,0.0352,0.0367,0.03595,10,2.643382353,0.0559,0.0571,0.0565,100,41.54411765
BPF,BPF-18-C-1,18-C-1,18-C,18,control,28,0.4,1.558095034,0.0828,0.0835,0.08315,10,6.113970588,0.0793,0.0793,0.0793,200,116.6176471
BPF,BPF-18-BPF-1,18-BPF-1,18-expose,18,expose,28,0.41,1.646778933,0.0798,0.0796,0.0797,10,5.860294118,0.0721,0.0723,0.0722,200,106.1764706
BPF,BPF-18-BPF-7,18-BPF-7,18-expose,18,expose,18,0.5,1.662221277,0.0438,0.0427,0.04325,10,3.180147059,0.0513,0.052,0.05165,100,37.97794118
BPF,BPF-18-C-7,18-C-7,18-C,18,control,18,0.71,1.729024167,0.0426,0.0556,0.0491,10,3.610294118,0.0996,0.0977,0.09865,100,72.53676471
BPF,BPF-18-BPF-2,18-BPF-2,18-expose,18,expose,28,0.65,1.639268976,,,,,,,,,,
BPF,BPF-18-C-2,18-C-2,18-C,18,control,28,0.48,1.888857723,0.0561,0.0568,0.05645,10,4.150735294,0.0739,0.0742,0.07405,200,108.8970588
BPF,BPF-18-C-8,18-C-8,18-C,18,control,18,0.5,1.470059706,0.0298,0.0302,0.03,10,2.205882353,0.101,0.1002,0.1006,100,73.97058824
BPF,BPF-18-BPF-8,18-BPF-8,18-expose,18,expose,18,0.41,2.01509681,0.0568,0.0577,0.05725,10,4.209558824,0.0793,0.0789,0.0791,100,58.16176471
BPF,BPF-18-C-3,18-C-3,18-C,18,control,28,0.48,1.813812728,,,,,,,,,,
BPF,BPF-18-BPF-3,18-BPF-3,18-expose,18,expose,28,0.55,2.142380672,,,,,,,,,,
BPF,BPF-18-BPF-9,18-BPF-9,18-expose,18,expose,18,0.43,1.744976122,0.0276,0.0271,0.02735,10,2.011029412,0.0438,0.0421,0.04295,100,31.58088235
BPF,BPF-18-C-9,18-C-9,18-C,18,control,18,0.58,1.786717719,0.0517,0.0513,0.0515,10,3.786764706,0.0936,0.0943,0.09395,100,69.08088235
BPF,BPF-18-BPF-4,18-BPF-4,18-expose,18,expose,28,0.46,1.905742869,0.0584,0.0591,0.05875,10,4.319852941,0.0448,0.0442,0.0445,200,65.44117647
BPF,BPF-18-C-4,18-C-4,18-C,18,control,28,0.58,1.820749532,0.0697,0.0702,0.06995,10,5.143382353,0.0757,0.0733,0.0745,200,109.5588235
BPF,BPF-18-C-10,18-C-10,18-C,18,control,18,0.41,1.110327653,0.0242,0.0246,0.0244,10,1.794117647,0.0449,0.0413,0.0431,100,31.69117647
BPF,BPF-18-BPF-10,18-BPF-10,18-expose,18,expose,18,0.39,1.615738519,0.05,0.0497,0.04985,10,3.665441176,0.0862,0.0861,0.08615,100,63.34558824
BPF,BPF-18-C-5,18-C-5,18-C,18,control,28,0.47,1.54751218,0.0586,0.0585,0.05855,10,4.305147059,0.0659,0.0657,0.0658,200,96.76470588
BPF,BPF-18-BPF-5,18-BPF-5,18-expose,18,expose,28,0.42,1.382883225,0.0629,0.063,0.06295,10,4.628676471,0.0395,0.0389,0.0392,200,57.64705882
BPF,BPF-18-C-11,18-C-11,18-C,18,control,18,0.43,1.744976122,0.0332,0.0319,0.03255,10,2.393382353,0.0842,0.0837,0.08395,100,61.72794118
